COMUNA,CODIGO DANE ,INSTITUCIÓN EDUCATIVA OFICIAL,ESPECIALIDAD,NIVEL EDUCATIVO,BARRIO,DIRECCION,TELEFONO
1,176001008766,I.E LUIS FERNANDO CAICEDO ,CASD - ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,PATIO BONITO,AVENIDA 5A OESTE #47A-04,(572) 8944361 - (572) 8944316
1,17600100876602,CECILIA CABALLERO DE LOPEZ,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,VISTA HERMOSA,AVENIDA 5A OESTE #34-100,(572) 6643869
1,176001008669,I.E JOSE HOLGUIN GARCES ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,TERRON COLORADO,AVENIDA 4A OESTE #23-108,(572) 8942322
1,17600100866902,ANA MARIA LLOREDA,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 4A OESTE CON CALLE 25,(572) 3325710 - (572) 3328642
1,17600100866903,MARICE SINISTERRA,ACADEMICA,PRIMARIA,TERRON COLORADO,CALLE 30 BIS OESTE 4A 00,(572) 4373275
1,17600100866904,VILLA DEL MAR,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 8 OESTE #30C-40,(572) 3259010 - (57)3168306264
1,17600100866905,ULPIANO LLOREDA,ACADEMICA,PRIMARIA - ACELERACIÓN,TERRON COLORADO,AVENIDA 4 BIS #25-08,(572) 3744081
1,17600100866906,JOSE ACEVEDO Y GOMEZ,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 5 OESTE #30-164,(572) 3374746
1,176001004973,I.E ISAIAS GAMBOA ,ACADEMICA,PRIMARIA,TERRON COLORADO,AVENIDA 4 OESTE #12-05,(572) 8829377
1,17600100497302,LA INMACULADA,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LA PORTADA,CALLE 10 OESTE #5-45,(572) 8944201
1,17600100497303,ALJANDRO CABAL POMBO,ACADEMICA,PRIMARIA - ACELERACIÓN - SECUNDARIA,TERRON COLORADO,CALLE 26 OESTE #8-17,(572) 8829099
1,17600100497304,JOSE CELESTINO MUTIS,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,TERRON COLORADO,AVENIDA 7B OESTE #18-02,(572) 8941401
1,17600100497305,AGUACATAL,ACADEMICA - CASD,PRIMARIA - ACELERACIÓN - SECUNDARIA - MEDIA,AGUACATAL,KILOMETRO 2 VIA AL AGUACATAL,(572) 8934135
2,176001001672,INSTITUCIÓN EDUCATIVA TECNICO DE COMERCIO SANTA CECILIA ,TECNICA - MEDIA TECNICA,SECUNDARIA - MEDIA,CIUDAD LOS ALAMOS,CALLE 61AN # 2GN-62,(572) 6642088
2,17600100167202,REPUBLICA DE FRANCIA ,ACADEMICA,PRIMARIA,CIUDAD LOS ALAMOS,CALLE 62N #2BN-00,(572) 6651433
2,17600100167203,BRISAS DE LOS ALAMOS,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,BRISAS DE LOS ALAMOS,AVENIDA 2BN CALLE 72,(572) 6650489
2,17600100167204,REPUBLICA DEL BRASIL,ACADEMICA - TECNICA - MEDIA TECNICA,ACELERACIÓN - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LA CAMPIÑA,CALLE 43 #7-03,(572) 6650489
2,17600100167205,INMACULADA BATACLAN,ACADEMICA,PRIMARIA,INMACULADA BATACLAN,AVENIDA 106 #10-47,(572) 6540699
2,17600100167206,ALTO MENGA,ACADEMICA,PRIMARIA,ALTOS DE MENGA,CALLE 53 AN #8-27,(572) 6540699
2,17600100167207,SAN CARLOS BORROMEO ,ACADEMICA,PRIMARIA,ALTOS DE NORMANDIA,AVENIDA 7 OESTE #1-61,(572) 6642088
3,176001001818,I.E SANTA LIBRADA,ACADEMICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,SAN JUAN BOSCO,CALLE 7  #B14A-106,(572) 8858838
3,17600100181802,LUIS CARLOS PEÑA,ACADEMICA,PRIMARIA,SAN JUAN BOSCO,CALLE 7  #14-36,(572) 8854742
3,17600100181803,CARLOS A.SARDI G.,ACADEMICA,PRIMARIA,SAN ANTONIO,CARRERA 5 #2-69,(572) 8936869
3,17600100181804,EUSTAQUIO PALACIOS,ACADEMICA,PRIMARIA,LIBERTADORES,CARRERA 17 #3A-55,(572) 6805431
3,17600100181806,REPUBLICA DE MEXICO,ACADEMICA,PRIMARIA,SAN NICOLAS,CALLE 20 #5-85,(572) 8818718
3,17600100181807,EL PILOTO,ACADEMICA,PRIMARIA,EL PILOTO,CARRERA 4  # 24-40,(572) 3326585
3,176001002253,I.E NORMAL SUPERIOR LOS FARALLONES ,ACADEMICA,SECUNDARIA - MEDIA - COMPLEMENTARIO,LIBERTADORES,CARRERA 22 #2-65 OESTE,(572) 5587300
3,17600100225303,MANUEL SINISTERRA PATIÑO,ACADEMICA,PRIMARIA,EL NACIONAL,CALLE 14 CON 3A OESTE,437 32 75
3,17600100225304,FRANCISCO JOSE DE CALDAS,ACADEMICA,PRIMARIA,BELLAVISTA,CARRERA 4 OESTE #12A-59,(572) 6626957 - (572) 6622018
3,17600100225305,MARIA PERLAZA,ACADEMICA,PRIMARIA,EL NACIONAL,CALLE 5 OESTE #18-02,437 32 75
3,17600100225306, LOS CRISTALES,ACADEMICA,PRIMARIA,EL MORTIÑAL,CALLE 11C OESTE #24C-50,(572) 4200893
3,17600100225307,CLUB NOEL,ACADEMICA,PRIMARIA,LIBERTADORES,CALLE 3A #22-95,ND
3,17600100225308,SALVADOR IGLESIAS,ACADEMICA,PRIMARIA,LIBERTADORES,CALLE 2B #22-70,338-14-42
3,17600100225309,MARTIN RESTREPO MEJIA,ACADEMICA,PRIMARIA,LIBERTADORES,CARRERA 22 #2-65,437 32 75
4,176001030796,I.E VEINTE DE JULIO ,TECNICO INDUSTRIAL,SECUNDARIA - MEDIA,BERLIN,CARRERA 5 NORTE  #33 -01,(572) 4444382 - (572) 4437061
4,17600103079602,CRISTINA SERRANO,ACADEMICA,PRIMARIA,BERLIN,CARRERA 5 NORTE  #33 -03,(572) 8934540
4,17600103079603,IGNACIO RENGIFO,ACADEMICA,PRIMARIA,IGNACIO RENGIFO,CALLE 41 #5 N 23,3003446778 - 3183892024 
4,176001040079,I.E SANTO TOMAS - CASD,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,BERLIN,CALLE 33 # 2N-11,(572) 4489805 - (572) 4455489
4,17600104007903,MANUELA BELTRAN,ACADEMICA,SECUNDARIA,SANTANDER,CARRERA 2A # 34-23,437 32 75
4,17600104007904,JORGE ISAAC,ACADEMICA,PRIMARIA,EL PORVENIR,CALLE 30 # 5-88,337-47-46
4,176001005091,I.E REPUBLICA DE ISRAEL ,ACADEMICA - CASD,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,LAS DELICIAS,CARRERA 3 # 43-49,442 24 85
4,17600100509102,MANUEL SANTIAGO VALLECILLA,ACADEMICA,PRIMARIA,LAS DELICIAS,CALLE 43 # 4B-33,(572) 4452193
4,17600100509103,SAN JOSE,ACADEMICA,PRIMARIA,LAS DELICIAS,CALLE 40 #2C-21,(572) 4452940
4,176001001699,I.E LA MERCED ,ACADEMICA - CASD,SECUNDARIA - MEDIA,SALOMIA,CALLE 47 #4E-30,(572) 3827677
4,17600100169902,SAN VICENTE DE PAUL,ACADEMICA,PRIMARIA,SALOMIA,CARRERA 2B #45A-20,(572) 4462009
4,17600100169903,SAN PEDRO ALEJANDRINO,ACADEMICA,PRIMARIA,SALOMIA,CARRERA 4E #46A-04,(572) 4462009
4,17600100169904,CENDOE,ACADEMICA,SECUNDARIA,SALOMIA,CALLE 44A #4B-00,(572) 4465988
4,176001003195,I.E JOSE ANTONIO GALAN ,ACADEMICA - MEDIA TECNICA - TECNICO INDUSTRIAL,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,POPULAR,CALLE 41 #3N-11,(572) 3798853
,176001004141,RAFAEL ZAMORANO,ACADEMICA,PRIMARIA - ACELERACIÓN,GUILLERMO VALENCIA,CARRERA 2N #45A-12,(572) 4466532
4,176001005813,I.E INEM JORGE ISAAC - INEM,MEDIA TECNICA,SECUNDARIA - MEDIA,FLORA INDUSTRIAL,CARRERA 5N #61-126,(572) 4470128
4,17600100581302,PABLO EMILIO CAICEDO,ACADEMICA,PRIMARIA,PASAO DEL COMERCIO,CARRERA 5N DIAGONAL 7N-39,(572) 4409947
4,17600100581303,LAS AMERICAS,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,FLORALIA,CALLE 82 CAR 3AN,(572) 4408876
4,17600100581304,FRAY DOMINGO DE LAS CASAS,ACADEMICA,PRIMARIA,CALIMA,CALLE 65 #6N-40,(572) 4468353
4,17600100581305,CECILIA MUÑOZ RICAURTE,ACADEMICA,PRIMARIA,FLORALIA,CALLE 77N CARRERA 8N,(572) 4449385
4,17600100581306,CENTRO EDUCATIVO DEL NORTE,ACADEMICA,PRIMARIA,EVARISTO GARCIA,CARRERA 4N #51AN-33,(572) 4472878
4,17600100581307,CAMILO TORRES,ACADEMICA,PRIMARIA,CAMILO TORRES,CARRERA 9N #56BN-57,(572) 4467856
4,176001001656,I. E GUILLERMO VALENCIA ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,POPULAR,CARRERA 7N #45A-08,(572) 4466502
,17600100165602,PRESBITERO ANGEL PIEDRAHITA,ACADEMICA,PRIMARIA - SECUNDARIA,OLAYA HERRERA,CARRERA 8N #51N-35,(572) 4465000
5,176001001729,I.E TECNICO DE COMERCIO SIMON RODRIGUEZ ,ACADEMICA - MEDIA TECNICA,SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,EL SENA,CARRERA 1DBIS #49-98,(572) 6943892
5,17600100172902,MARIA PANESSO,ACADEMICA,PRIMARIA,EL SENA,CALLE 46C #3-00,437 32 75
5,17600100172903,MARIO LLOREDA,ACADEMICA,PRIMARIA,EL SENA,CARRERA 1D #56-16 ,437 32 75
5,176001020065,I.E CELMIRA BUENO DE OREJUELA ,ACADEMICA - MEDIA TECNICA,PRIMARIA - SECUNDARIA - MEDIA - CICLOS EDUCACIÓN PARA ADULTOS,CHIMINANGOS,CALLE 62B #1A9 - 250,(572) 4470928
5,17600102006502,MARIANO OSPINA PEREZ,ACADEMICA,PRIMARIA,LA RIVERA,CARRERA 2 CALLE 67 ESQUINA,(572) 4467997
6,176001007875,I.E PEDRO ANTONIO MOLINA ,TECNICO INDUSTRIAL,SECUNDARIA - MEDIA,SAN LUIS,CARRERA 1 A 10 #71 -00,(572) 4405332
6,17600100787502,SAN LUIS,ACADEMICA - TECNICO INDUSTRIAL,PRIMARIA - SECUNDARIA - CICLOS EDUCACIÓN PARA ADULTOS,SAN LUIS,CALLE 72 #1B 03,(572) 4405926
6,17600100787503,SAN JORGE,ACADEMICA,PRIMARIA,PETECUY 3,CARRERA 1 #74 - 23,(572) 4402626
6,17600100787504,INMACULADA CONCEPCION,ACADEMICA - TECNICO INDUSTRIAL,PRIMARIA - SECUNDARIA,PETECUY 2,CALLE 73 A #1 A 14 - 21,(572) 4329054
6,17600100787505,ATANASIO GIRARDOT,ACADEMICA,PRIMARIA - CICLOS EDUCACIÓN PARA ADULTOS,ALCAZARES,CARRERA 1 A 3 #70 B 00,(572) 4404968
6,17600100787506,JORGE ELIECER GAITAN,TECNICO INDUSTRIAL,PRIMARIA - SECUNDARIA - MEDIA,JORGE ELIECER GAITAN,CARRERA 2 C #71 -00,(572) 4428886
6,17600100787507,TRES DE JULIO,ACADEMICA,PRIMARIA,LA RIVERA ,CARRERA 1 F #71 - 00,(572) 4331059
6,17600100787508,LOS VENCEDORES,ACADEMICA - TECNICO INDUSTRIAL,PRIMARIA - SECUNDARIA - MEDIA,SAN LUIS II,CARRERA 1 A 4 #72 D 19,(572) 4409924
7,176001001664,I.E VICENTE BORRERO COSTA ,ACADEMICA,SECUNDARIA - MEDIA - CIClOS EDUCACIÓN PARA ADULTOS,ALFONZO LOPEZ III,CALLE 76 CARRERA 7 S OO EQ,(572) 6620161 - (572) 6565620
7,1760010016402,PRESBITERO ELOY VALENZUELA,ACADEMICA,PRIMARIA - ACELERACIÓN,ALFONSO LOPEZ III,CALLE 74  7 P BIS - 46,(572) 6620161 - (572) 6565620
7,17600100166403,ALFONSO LOPEZ PUMAREJO,ACADEMICA,PRIMARIA,ALFONSO LOPEZ I,CALLE 84 CARRERA 7 ABIS EQ,(572) 6620161 - (572) 6565620
